id,name,island,kind,candidateScore,candidateTitle,previewUrl,sourceUrl,creator,license,licenseUrl,decision
historic:hassel-island-creque-marine-railway,Hassel Island Creque Marine Railway,stt,historic,,,,,,,,
historic:hassel-island-fort-willoughby,Hassel Island Fort Willoughby,stt,historic,,,,,,,,
historic:hassel-island-historic-district-boundary-increase,Hassel Island Historic District (Boundary Increase),stt,historic,,,,,,,,
historic:hermitage-plantation-historic-district,Hermitage Plantation Historic District,stj,historic,,,,,,,,
historic:holy-cross-episcopal-church,Holy Cross Episcopal Church,stx,historic,,,,,,,,
historic:jossie-gut-historic-district,Jossie Gut Historic District,stj,historic,,,,,,,,
historic:kingshill-lutheran-church,Kingshill Lutheran Church,stx,historic,,,,,,,,
historic:lesperance-historic-district,L'Esperance Historic District,stj,historic,,,,,,,,
historic:la-grande-princesse-school,La Grande Princesse School,stx,historic,,,,,,,,
historic:la-grange-historic-district,La Grange Historic District,stx,historic,,,,,,,,
historic:lameshur-plantation,Lameshur Plantation,stj,historic,,,,,,,,
historic:liever-marches-bay-historic-district,Liever Marches Bay Historic District,stj,historic,,,,,,,,
historic:lind-point-fort,Lind Point Fort,stj,historic,,,,,,,,
historic:little-la-grange,Little La Grange,stx,historic,,,,,,,,
historic:mafolie-great-house,Mafolie Great House,stt,historic,,,,,,,,
historic:market-square-pladsen,Market Square (Pladsen),stt,historic,,,,,,,,
historic:mary-point-estate,Mary Point Estate,stj,historic,,,,,,,,
historic:more-hill-historic-district,More Hill Historic District,stj,historic,,,,,,,,
historic:new-herrnhut-moravian-church,New Herrnhut Moravian Church,stt,historic,,,,,,,,
historic:peace-hill-ruins,Peace Hill Ruins,stj,historic,,,,,,,,
historic:reef-bay-great-house-historic-district,Reef Bay Great House Historic District,stj,historic,,,,,,,,
historic:reef-bay-sugar-factory-historic-district,Reef Bay Sugar Factory Historic District,stj,historic,,,,,,,,
historic:reef-bay-sugar-mill,Reef Bay Sugar Mill,stj,historic,,,,,,,,
historic:reformed-dutch-church-stt,"Reformed Dutch Church, St. Thomas",stt,historic,,,,,,,,
historic:richmond-prison-detention-and-workhouse,Richmond Prison Detention and Workhouse,stx,historic,,,,,,,,
historic:rustenberg-plantation-south-historic-district,Rustenberg Plantation South Historic District,stj,historic,,,,,,,,
historic:salt-river-bay-national-historic-site-and-ecological-preserve,Salt River Bay National Historic Site and Ecological Preserve,stx,historic,,,,,,,,
historic:sion-hill,Sion Hill,stx,historic,,,,,,,,
historic:slob-historic-district,Slob Historic District,stx,historic,,,,,,,,
historic:sprat-hall-historic-district,Sprat Hall Historic District,stx,historic,,,,,,,,
historic:st-johns-episcopal-church,St. John's Episcopal Church,stx,historic,,,,,,,,
historic:st-thomas-synagogue,St. Thomas Synagogue,stt,historic,,,,,,,,
historic:st-thomas-synagogue-beracha-veshalom-vegemiluth-hasadim,St. Thomas Synagogue-Beracha Veshalom Vegemiluth Hasadim,stt,historic,,,,,,,,
historic:strawberry-hill-historic-district,Strawberry Hill Historic District,stx,historic,,,,,,,,
historic:susannaberg-estate,Susannaberg Estate,stj,historic,,,,,,,,
historic:trunk-bay-sugar-factory,Trunk Bay Sugar Factory,stj,historic,,,,,,,,
historic:tutu-plantation-house,Tutu Plantation House,stt,historic,,,,,,,,
historic:venus-hill,Venus Hill,stt,historic,,,,,,,,
historic:whim,Whim,stx,historic,,,,,,,,
