index,id,name,type,island,confidence,bucket,officialAuditSampled,candidateName,candidateSource,candidateLat,candidateLng,reason
2431,st_croix-estate-store-princeas,Store Princeas,estate,st_croix,none,research_clean_name_no_candidate,false,Little Princeasa,geographic_index,17.753763,-64.726016,weak_similarity
2435,st_thomas-estate-stragglers,Stragglers,estate,st_thomas,none,ocr_or_name_cleanup_first,false,Brewers Bay,geographic_index,18.3444,-64.9782,weak_similarity
2436,st_croix-estate-strawberry,Strawberry,estate,st_croix,review,ocr_or_name_cleanup_first,false,STRAWBERRY HILL,geographic_index,17.7328185877428,-64.75815600746235,contains_clean_slug
2439,st_thomas-bay-stumpka-bay,Stumpka Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,Santa Maria Bay,geographic_index,18.359333337383298,-64.98905345449211,weak_similarity
2440,st_thomas-bay-stumpy-bay,Stumpy Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,SALT CAY,geographic_index,18.361460176887647,-65.05306615329525,weak_similarity
2441,st_thomas-bay-stumpy-point,Stumpy Point,bay,st_thomas,none,research_clean_name_no_candidate,false,SALT CAY,geographic_index,18.361460176887647,-65.05306615329525,weak_similarity
2443,st_thomas-point-suckerbush,Suckerbush,point,st_thomas,none,research_clean_name_no_candidate,false,OUTER BRASS ISLAND,geographic_index,18.396771896594352,-64.97125115098954,weak_similarity
2445,st_thomas-estate-sugar-bay,Sugar Bay,estate,st_thomas,review,review_candidate,false,THOMAS - SUGAR ESTATE,geographic_index,18.33908620282785,-64.91779047822504,contains_clean_slug
2447,st_thomas-hill-sugarloaf-hill,Sugarloaf Hill,hill,st_thomas,none,research_clean_name_no_candidate,false,Bethesda Hill,geographic_index,18.3559062831591,-65.00835365155365,weak_similarity
2448,st_croix-estate-sugarloaf-peak,Sugarloaf Peak,estate,st_croix,none,research_clean_name_no_candidate,false,GOLDEN ROCK,geographic_index,17.750492234111952,-64.72131271062725,weak_similarity
2449,st_thomas-bay-sugas-bay,Sugas Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,SABA ISLAND,geographic_index,18.305365213967647,-65.0001933420265,weak_similarity
2450,st_thomas-estate-suhnn,Suhnn,estate,st_thomas,none,research_clean_name_no_candidate,false,SAVANA ISLAND,geographic_index,18.3409417799056,-65.07956596206054,weak_similarity
2452,st_thomas-island-sula-cay,Sula Cay,island,st_thomas,none,research_clean_name_no_candidate,false,SALT CAY,geographic_index,18.361460176887647,-65.05306615329525,weak_similarity
2453,st_thomas-bay-sunsi-bay,Sunsi Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,MISGUNST,geographic_index,18.35687840900315,-64.9333822333455,weak_similarity
2454,st_thomas-bay-sunsi-point,Sunsi Point,bay,st_thomas,none,research_clean_name_no_candidate,false,MISGUNST,geographic_index,18.35687840900315,-64.9333822333455,weak_similarity
2456,st_thomas-bay-surlaine-point,Surlaine Point,bay,st_thomas,none,research_clean_name_no_candidate,false,Savana Island,geographic_index,18.3409417799056,-65.07956596206054,weak_similarity
2457,st_john-estate-susannabarg,Susannabarg,estate,st_john,review,review_candidate,false,Anna Point,geographic_index,18.371289,-64.733869,contains_clean_slug
2460,st_thomas-estate-suttpcslane-bdy,Suttpcslane Bdy,estate,st_thomas,none,ocr_or_name_cleanup_first,false,DUTCHMAN CAP,geographic_index,18.37996707126645,-65.0617794059329,weak_similarity
2461,st_thomas-island-suvalca-island-passage,Suvalca Island Passage,island,st_thomas,none,research_clean_name_no_candidate,false,SANTA MARIA,geographic_index,18.359333337383298,-64.98905345449211,weak_similarity
2464,st_thomas-estate-sweetbottom-estate,Sweetbottom Estate,estate,st_thomas,none,research_clean_name_no_candidate,false,Skytsborg Tower,geographic_index,18.3445,-64.9302,weak_similarity
2465,st_croix-point-sydvest-pvnt,Sydvest Pvnt,point,st_croix,none,ocr_or_name_cleanup_first,false,CONTENTMENT,geographic_index,17.7380551734812,-64.71023866116394,weak_similarity
2466,st_thomas-point-tumel-point,T'umel Point,point,st_thomas,none,research_clean_name_no_candidate,false,Great Saint James,geographic_index,18.3105321364764,-64.8291316641308,weak_similarity
2470,st_thomas-estate-tabor-and-harryvilld,Tabor and Harryvilld,estate,st_thomas,none,research_clean_name_no_candidate,false,TABOR & HARMONY,geographic_index,18.349611595744598,-64.88284998096904,weak_similarity
2471,st_croix-bay-tague-bay,Tague Bay,bay,st_croix,weak,review_candidate,false,TEAGUE BAY,geographic_index,17.75301681301925,-64.61045350304195,weak_similarity
2472,st_thomas-estate-tague-point,Tague Point,estate,st_thomas,none,research_clean_name_no_candidate,false,RAPHUNE,geographic_index,18.33611739862115,-64.90749670274926,weak_similarity
2473,st_croix-bay-takes-bay,Takes Bay,bay,st_croix,none,research_clean_name_no_candidate,false,COAKLEY BAY,geographic_index,17.75255735316205,-64.642238675789,weak_similarity
2475,st_thomas-gut-tamarindtree-gut,Tamarindtree Gut,gut,st_thomas,none,research_clean_name_no_candidate,false,Caretbay Gut,geographic_index,18.36457293689035,-64.97608543520525,weak_similarity
2480,st_thomas-point-target-rock,Target Rock,point,st_thomas,none,research_clean_name_no_candidate,false,COCULUS ROCK,geographic_index,18.31372200975455,-64.8648698763188,weak_similarity
